,name,github_id,dockerhub_id,pypi_id,npm_id,helm_id,brew_id,apt_id,yum_id,maven_id,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,fork_count,open_issue_count,closed_issue_count,star_count,commit_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,projectrank,pypi_url,license,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,monthly_downloads,npm_url,npm_latest_release_published_at,npm_dependent_project_count,npm_monthly_downloads,maven_url,maven_latest_release_published_at,maven_dependent_project_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,show,projectrank_placing,gem_id,conda_id,go_id,conda_url,conda_latest_release_published_at,github_dependent_project_count,pkg_id,cran_id,conda_dependent_project_count,github_release_downloads,zypper_id,yarn_id,docs_url,nuget_id,snap_id,dotnet_id,cargo_id,gitlab_id
222,BertViz,jessevig/bertviz,,,,,,,,,model-viz,https://github.com/jessevig/bertviz,https://github.com/jessevig/bertviz,2018-12-16 16:50:42+00:00,2019-09-29 15:15:11+00:00,2019-09-29 15:14:45+00:00,182,11.0,8.0,1020,162.0,,,,"Tool for visualizing attention in the Transformer model (BERT,..",3.0,14,,Apache-2.0,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
223,OpenVINO DLDT,opencv/dldt,,,,,,,,,model-deployment,https://github.com/opencv/dldt,https://github.com/opencv/dldt,2018-10-15 10:54:40+00:00,2019-11-06 14:44:00+00:00,2019-11-06 14:42:34+00:00,292,192.0,89.0,889,11.0,2019-10-28 18:37:50+00:00,2019_R3.1,4.0,OpenVINO Toolkit - Deep Learning Deployment Toolkit repository.,7.0,14,,Apache-2.0,,,,,16.0,,,,,,,,,,,,True,3,,,,,,,,,,98.0,,,,,,,,
224,GraphPipe,oracle/graphpipe,sleepsonthefloor/graphpipe-tf,graphpipe,,,,,,,model-deployment,https://github.com/oracle/graphpipe,https://github.com/oracle/graphpipe,2018-06-27 18:31:23+00:00,2018-11-02 19:04:45.778002+00:00,2018-10-16 22:56:31+00:00,95,11.0,1.0,676,29.0,2018-08-15 21:29:32+00:00,1.0.4,5.0,Machine Learning Model Deployment Made Simple.,4.0,14,https://pypi.org/project/graphpipe,UPL-1.0,2018-08-15 21:29:32+00:00,2.0,2.0,279.0,338.0,,,,,,,,https://hub.docker.com/r/sleepsonthefloor/graphpipe-tf,2018-11-02 19:04:45.778002+00:00,,1005.0,False,3,,,github.com/oracle/graphpipe-go,,,,,,,,,,,,,,,
225,MLDB,mldbai/mldb,,,,,,,,,others,https://github.com/mldbai/mldb,https://github.com/mldbai/mldb,2015-12-08 16:34:16+00:00,2019-01-08 16:12:51+00:00,2018-10-09 02:25:24+00:00,78,24.0,3.0,554,3338.0,2017-05-25 19:52:40+00:00,2017.04.17.0,20.0,MLDB is the Machine Learning Database.,15.0,14,,Apache-2.0,,,,,,,,,,,,,,,,,False,3,,,,,,,,,,,,,,,,,,
226,Meltano,,meltano/meltano,meltano,,,,,,,business-intelligence,,https://gitlab.com/meltano/meltano,,2019-11-04 16:59:35.402304+00:00,,61,,,318,,2019-10-28 18:29:36+00:00,1.3.0,70.0,"Convention-over-configuration product for the whole data lifecycle,..",,14,https://pypi.org/project/meltano,MIT,2019-10-28 18:29:36+00:00,,,867.0,867.0,,,,,,,,https://hub.docker.com/r/meltano/meltano,2019-11-04 16:59:35.402304+00:00,3.0,215722.0,True,3,,,,,,,,,,,,,,,,,,meltano/meltano
227,Arcade Analytics,ArcadeAnalytics/arcadeanalytics,arcadeanalytics/arcadeanalytics,,,,,,,,data-viz,https://github.com/ArcadeAnalytics/arcadeanalytics,https://github.com/ArcadeAnalytics/arcadeanalytics,2019-02-12 15:47:27+00:00,2019-11-08 12:44:56.323056+00:00,2019-11-03 15:27:49+00:00,22,40.0,41.0,95,237.0,,,,Arcade Analytics is the first Open Source Graph Analytics platform...,6.0,14,,Apache-2.0,,,,,865.0,,,,,,,,https://hub.docker.com/r/arcadeanalytics/arcadeanalytics,2019-11-08 12:44:56.323056+00:00,1.0,7793.0,False,3,,,,,,,,,,,,,,,,,,
228,PennAI,EpistasisLab/pennai,moorelab/pennai_lab,,,,,,,,ml-platforms,https://github.com/EpistasisLab/pennai,https://github.com/EpistasisLab/pennai,2017-05-09 14:13:25+00:00,2019-10-31 17:05:42+00:00,2019-10-17 16:01:50+00:00,23,53.0,132.0,93,3796.0,,,6.0,the Penn AI engine.,38.0,14,,GPL-3.0,,,,,9.0,,,,,,,,https://hub.docker.com/r/moorelab/pennai_lab,2019-08-07 14:13:34.093485+00:00,,27.0,False,3,,,,,,,,,,158.0,,,,,,,,
229,ML Hub,ml-tooling/ml-hub,mltooling/ml-hub,,,,,,,,dev-environments,https://github.com/ml-tooling/ml-hub,https://github.com/ml-tooling/ml-hub,2019-06-26 15:05:50+00:00,2019-11-08 15:34:58+00:00,2019-10-22 12:37:33+00:00,4,,,36,139.0,2019-10-30 11:42:42+00:00,0.1.7,4.0,Multi-user development platform for machine learning teams. Simple..,4.0,14,,Apache-2.0,,,,,369.0,,,,,,,,https://hub.docker.com/r/mltooling/ml-hub,2019-10-22 12:40:45.352337+00:00,1.0,1740.0,False,3,,,,,,,,,,42.0,,,,,,,,
230,FastPhotoStyle,NVIDIA/FastPhotoStyle,,,,,,,,,ml-applications,https://github.com/NVIDIA/FastPhotoStyle,https://github.com/NVIDIA/FastPhotoStyle,2018-02-14 17:29:52+00:00,2019-05-14 09:40:36+00:00,2019-02-27 15:42:02+00:00,1000,37.0,35.0,9928,92.0,,,1.0,"Style transfer, deep learning, feature transform.",5.0,13,,CC-BY-4.0,,,,,,,,,,,,,,,,,False,3,,,,,,,,,,,,,,,,,,
231,Franchise,HVF/franchise,binakot/franchise,,,,,,,,db-gui,https://github.com/HVF/franchise,https://github.com/HVF/franchise,2017-08-01 17:40:56+00:00,2019-08-09 13:36:36+00:00,2019-07-30 22:48:40+00:00,215,30.0,26.0,3508,78.0,,,,a notebook sql client. what you get when have a lot of sequels.,14.0,13,,MIT,,,,,11.0,,,,,,,,https://hub.docker.com/r/binakot/franchise,2019-02-27 19:00:24.311109+00:00,2.0,311.0,True,3,,,,,,,,,,,,,,,,,,
232,GANDissect,CSAILVision/gandissect,,,,,,,,,model-viz,https://github.com/CSAILVision/gandissect,https://github.com/CSAILVision/gandissect,2018-11-19 14:16:08+00:00,2019-06-05 17:02:30+00:00,2019-03-11 13:42:05+00:00,215,6.0,6.0,1442,34.0,,,,Pytorch-based tools for visualizing and understanding the neurons of..,3.0,13,,MIT,,,,,,,,,,,,,,,,,True,3,,,,,,,,,,,,,,,,,,
